"ts","artistName","trackName","ms_played"
"2021-01-12 18:39","Outkast","Benz Or Beamer",835
"2021-01-12 18:39","Foster The People","Call It What You Want",1068
"2021-01-12 18:39","Iyaz","Replay",2345
"2021-01-12 18:39","Owl City","Fireflies",4411
"2021-01-12 18:39","Kanye West","I Wonder",1021
"2021-01-12 18:39","Nelly","Hot In Herre",975
"2021-01-12 18:39","Waka Flocka Flame","No Hands (feat. Roscoe Dash & Wale)",1091
"2021-01-12 18:39","Jay Sean","Down",1439
"2021-01-12 18:39","LMFAO","Yes",1044
"2021-01-12 18:39","slowthai","MAZZA (feat. A$AP Rocky)",54016
"2021-01-12 18:39","Rick Ross","Hustlin'",1137
"2021-01-12 18:39","50 Cent","Disco Inferno",1044
"2021-01-12 18:39","Quincy Jones","The Dude",2368
"2021-01-12 18:39","Timbaland","The Way I Are",3204
"2021-01-12 18:39","JAY-Z","Run This Town",2182
"2021-01-12 18:39","Nelly Furtado","Promiscuous",812
"2021-01-12 18:41","Outkast","Roses",95016
"2021-01-12 18:45","Kendrick Lamar","Swimming Pools (Drank)",247800
"2021-01-12 18:51","Quincy Jones","The Dude",337600
"2021-01-12 19:00","D12","My Band",580195
